,Gender,Age,Pre_CanDoCoding,Pre_CodingImportance,Pre_CodingInterest,ITaccess,UseComputersOften,VisitLibraryBefore,DesireLibraryVisit,Post_CanDoCoding,Post_CodingInterest,Post_CodingImportance,WorkshopFeedback,Scratch_rating,Microbit_rating,MakeArt_rating,MakePong_rating,KanoCode_rating,MakeSnake_rating,HackMinecraft_rating,TerminalQuest_rating,VisitLibrary_Activities,VisitLibrary_Devices
13,male,14,dontknow,somewhat,very,home,sometimes,sometimes,somewhat,yes,very,somewhat,good,not_used,5,4,not_used,not_used,not_used,not_used,not_used,yes,yes
14,male,15,dontknow,very,very,no,sometimes,sometimes,very,yes,very,very,verygood,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,yes,yes
15,male,14,dontknow,very,very,no,sometimes,regularly,somewhat,yes,very,very,verygood,not_used,5,5,not_used,not_used,not_used,not_used,not_used,yes,yes
16,male,12,dontknow,very,very,no,sometimes,sometimes,very,yes,very,very,verygood,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,yes,yes
17,male,14,dontknow,very,very,no,sometimes,sometimes,very,yes,very,very,verygood,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,yes,yes
18,male,14,dontknow,very,very,no,sometimes,sometimes,very,yes,very,very,verygood,not_rated,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
19,male,13,yes,very,very,no,sometimes,never,very,yes,somewhat,very,good,not_used,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,yes,yes
20,male,15,yes,very,very,no,rarely,sometimes,very,yes,very,very,verygood,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,yes,yes
21,male,14,no,very,somewhat,no,sometimes,never,somewhat,yes,very,very,good,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,maybe,maybe
22,male,14,no,very,somewhat,no,sometimes,never,somewhat,yes,very,very,good,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,maybe,yes
23,male,14,no,very,very,no,sometimes,never,somewhat,yes,very,somewhat,verygood,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,yes,yes
24,male,13,no,very,very,no,sometimes,never,somewhat,yes,very,somewhat,verygood,not_used,not_rated,not_used,not_used,not_used,not_used,not_used,not_used,yes,yes
25,male,14,dontknow,somewhat,somewhat,no,never,rarely,somewhat,no,somewhat,somewhat,okay,not_used,not_used,not_used,not_used,not_used,not_used,not_used,not_used,maybe,maybe
26,male,15,dontknow,unsure,very,no,sometimes,sometimes,somewhat,yes,very,somewhat,verygood,not_used,5,4,not_used,not_used,not_used,not_used,not_used,yes,yes
27,male,14,dontknow,unsure,very,no,sometimes,sometimes,somewhat,yes,very,very,verygood,5,5,3,4,not_used,4,not_used,not_used,yes,yes
28,male,13,no,unsure,very,home,regularly,never,somewhat,yes,very,very,verygood,not_used,5,4,not_used,not_used,not_used,not_used,not_used,yes,yes
29,male,16,no,very,very,no,sometimes,sometimes,somewhat,yes,somewhat,somewhat,good,not_used,5,5,not_used,5,not_used,not_used,not_used,maybe,maybe
30,male,15,dontknow,unsure,very,school,sometimes,sometimes,very,dontknow,very,somewhat,verygood,not_used,4,5,not_used,not_used,not_used,not_used,not_used,yes,yes
31,male,15,dontknow,unsure,very,school,sometimes,sometimes,very,dontknow,very,somewhat,verygood,not_used,3,5,not_used,not_used,not_used,not_used,not_used,yes,yes
